ID;PSC 2020;PSC 2019;PSC 2018;PSC 2017
216;10;9;;10
217;;;;
218;10;;;9
219;9;10;10;7
220;10;8;;
221;;;;
222;;;;
223;10;;;
224;9;;;
225;10;10;10;
226;9;;;
227;10;10;10;10
228;;;;
229;10;;;10
230;10;10;10;10
231;10;10;10;10
232;10;;;
233;10;;10;
234;7;;;
235;10;10;10;10
236;10;10;10;10
237;10;;;
238;9;9;10;10
239;10;;;
240;10;;;
241;9;;10;10
242;10;;9;
243;10;;10;
244;;8;10;
245;10;10;8;10
246;;;10;
247;10;;;
248;9;9;9;
249;10;10;10;10
250;10;10;10;10
251;10;;;
252;10;10;10;10
253;8;9;4;9
254;10;10;10;10
255;;;;
256;6;;7;
257;10;;;
258;10;10;10;
259;6;8;9;9
260;10;9;10;10
261;10;10;9;10
262;10;7;;8
263;10;10;10;10
264;10;;;
265;;;8;
266;10;;;
267;10;8;10;10
268;9;;;
269;10;;;
270;10;;10;
271;10;10;9;9
272;;;;
273;;;;
274;10;;;
275;10;;;
276;10;;9;
277;9;;;
278;8;;9;
279;10;;;
280;9;8;;
281;10;;;
282;10;;;
283;10;;;
284;10;;;
285;10;;;
286;;;;
287;10;10;;10
288;10;10;;
289;9;9;9;8
290;10;10;;
291;10;9;;
292;10;;;
293;;10;;10
294;10;;;
295;10;;10;
296;10;10;10;10
297;;10;9;10
298;9;8;8;7
299;9;9;10;
300;8;;;
301;;;9;9
302;9;;;
303;9;;;
304;10;10;10;10
305;9;;;
306;;;;
307;9;;;
308;8;;;
309;10;8;;
310;10;10;10;10
311;;7;10;10
312;10;;10;10
313;10;9;10;10
314;10;10;10;9
315;;;;
316;10;;8;
317;9;9;10;
318;10;10;10;10
319;10;;;
320;10;;;
321;9;10;9;9
322;10;10;9;10
323;10;;;
324;;;10;
325;;;10;
326;;;10;
327;;;10;
328;10;10;9;10
329;10;10;9;
330;10;10;;10
331;10;10;10;
332;10;10;10;10
333;4;;;
334;10;10;10;10
335;9;;;10
336;10;;9;
337;10;10;10;10
338;10;;;
339;;;;
340;9;10;9;8
341;10;10;10;10
342;10;9;9;10
343;10;10;10;
344;10;;10;
345;;9;9;
346;10;;;
347;10;9;10;10
348;10;10;9;10
349;9;8;10;9
350;10;;;
351;10;10;10;10
352;10;;;
353;10;;10;
354;10;;;
355;9;8;8;9
356;;;10;10
357;10;10;;10
358;9;9;;
359;10;10;10;9
360;10;10;10;9
361;10;10;;10
362;10;;8;
363;10;;;
364;10;;10;
365;10;10;10;10
366;8;8;;8
367;;;;10
368;10;;;
369;10;10;;
370;10;;10;
371;9;;9;
372;10;10;10;10
373;10;;10;
374;8;8;;
375;;10;10;10
376;;9;9;8
377;4;;;
378;;9;10;10
379;;;9;9
380;10;;;
381;10;9;10;9
382;9;10;10;10
383;10;10;10;10
384;;;;
385;9;10;10;
386;8;;;
387;9;9;8;10
388;;;10;
389;10;10;5;
390;9;;;
391;;;;
392;10;;;
393;;10;10;8
394;7;9;8;9
395;10;10;10;10
396;9;9;10;10
397;5;;;
398;;;;
399;10;10;10;10
400;10;;10;
401;;;10;9
402;;10;;9
403;8;10;10;
404;;10;10;10
405;10;9;9;9
406;10;8;8;9
407;;;;
408;7;;;
409;9;9;;10
410;10;10;10;10
411;10;10;10;10
412;9;;9;10
413;;9;;
414;8;8;;
415;8;8;;
416;10;;;
417;9;;;10
418;10;;;
419;;;;
420;10;;;
421;10;10;10;9
422;9;;;
423;;7;;
424;10;10;10;10
425;;9;6;
426;8;;;
427;10;;;
428;10;10;;10
429;;;9;
430;8;;10;
431;9;;7;
432;9;10;10;9
433;10;;;
434;;;;
435;8;;;
436;10;10;10;10
437;;;;
438;9;;;
439;8;;;
440;9;10;;8
441;8;;10;
442;;;;
443;10;;;
444;10;;;
445;10;10;9;10
446;10;;;
447;10;10;8;9
448;10;;10;10
449;;;;
450;9;10;7;9
451;10;10;;
452;10;10;10;10
453;10;;;
454;9;;9;9
455;10;10;10;10
456;9;9;9;9
457;10;;;10
458;10;10;10;9
459;10;9;;
460;10;10;8;8
461;9;9;10;9
462;10;10;10;9
463;10;10;10;10
464;;;;
465;10;10;;9
466;;;;10
467;10;;;
468;9;10;9;9
469;;;9;
470;8;;;
471;;;;
472;10;;;
473;10;9;10;10
474;10;10;10;10
475;8;;10;8
476;9;10;8;
477;9;10;;
478;10;9;;
479;10;;10;
480;10;6;;
481;8;;;
482;10;10;10;10
483;;;8;10
484;9;10;;
485;;10;10;10
486;10;10;10;10
487;10;;;
488;8;;8;8
489;;10;8;6
490;10;10;10;
491;9;9;;9
492;9;;8;10
493;10;;;
494;8;;;
495;10;9;;
496;10;;10;
497;10;10;;
498;10;10;9;9
499;9;10;8;10
500;8;;;
501;10;8;;
502;;10;;
503;8;8;8;7
504;;;;
505;6;;;
506;10;10;10;10
507;10;10;10;
508;9;;9;
509;10;9;;10
510;10;;10;
511;10;;;
512;10;10;;9
513;7;;8;
514;;10;10;10
515;10;10;7;10
516;10;10;;10
517;8;;;
518;10;9;;10
519;6;9;;9
520;;10;10;
521;;;;
522;9;9;;
523;10;10;10;10
524;;;;
525;8;;;
526;10;10;;
527;10;;10;10
528;;;;
529;10;10;10;10
530;10;10;;
531;10;10;;
532;10;10;10;10
533;10;10;;
534;10;;8;
535;7;7;8;
536;;;;
537;10;10;;
538;10;10;10;10
539;9;;;10
540;10;;10;
541;10;;;
542;;9;;
543;10;;;
544;;10;;
545;8;10;10;8
546;10;10;10;
547;9;10;10;10
548;;10;8;6
549;9;;;
550;;10;;
551;;;10;10
552;8;9;;10
553;10;;10;
554;10;10;9;10
555;8;;;
556;;;;
557;10;;8;8
558;;;;
559;10;10;10;9
560;;8;;
561;10;10;9;9
562;;;;
563;10;;;9
564;;9;8;8
565;8;;;
566;10;;;
567;8;;;
568;9;;;
569;10;10;;10
570;;;10;
571;9;10;10;10
572;10;9;8;9
573;10;9;9;
574;9;10;7;10
575;6;;;
576;10;;;
577;10;10;8;
578;;;;
579;;;;10
580;10;;10;
581;;;;
582;9;;10;10
583;8;;;
584;9;10;10;10
585;10;10;10;
586;9;9;10;
587;10;;;
588;8;10;9;10
589;10;10;10;10
590;10;8;10;10
591;9;9;8;10
592;10;8;10;
593;;9;;
594;;9;9;9
595;9;10;;
596;;;;
597;;10;10;10
598;10;10;10;10
599;;8;9;
600;10;10;9;10
601;10;;;
602;10;10;10;10
603;7;10;;
604;;;10;10
605;9;9;10;10
606;9;;9;
607;10;10;;10
608;10;;8;
609;10;10;10;10
610;10;10;10;10
611;10;10;7;9
612;10;;10;
613;;;8;
614;;;;9
615;;10;10;10
616;5;;;1
617;9;10;8;
618;10;10;10;10
619;;10;10;10
620;9;9;9;10
621;;10;10;10
622;;10;;10
623;10;10;9;9
624;9;;;
625;10;7;10;10
626;;10;9;10
627;;9;9;
628;;10;10;10
629;10;;10;
630;9;;9;
631;;9;;10
632;;;;
633;;9;8;8
634;9;10;9;10
635;10;;;
636;10;;10;
637;9;9;9;8
638;10;10;;10
639;9;9;10;10
640;10;;;
641;;;;
642;;;;
643;9;9;;9
644;10;;;
645;9;10;;9
646;10;10;10;10
647;10;10;10;
648;10;8;10;10
649;;;;
650;10;9;;
651;;;;
652;10;10;10;
653;;;9;10
654;;10;;
655;9;10;9;
656;8;;;
657;10;;8;10
658;10;;;
659;9;9;;10
660;;;;
661;8;10;9;10
662;;;;
663;;10;9;7
664;10;;;
665;10;10;10;9
666;;;;9
667;;;10;
668;8;8;9;7
669;8;8;9;9
670;;9;;
671;;;;
672;10;8;9;
673;9;8;;
674;;;;
675;;10;;10
676;;10;10;
677;10;9;9;9
678;10;9;9;9
679;;10;10;10
680;;10;;10
681;9;8;10;9
682;10;10;10;10
683;8;9;;10
684;10;;;10
685;;;10;
686;10;7;9;10
687;8;8;9;10
688;2;9;10;9
689;;7;;7
690;;;;
691;9;10;9;10
692;;9;10;10
693;10;10;10;10
694;;10;10;10
695;9;;;
696;9;9;;
697;9;10;;
698;8;10;;
699;;10;10;
700;9;;;
701;8;10;10;
702;10;10;10;4
703;;;;
704;8;9;9;8
705;;;;
706;10;10;;10
707;8;;;9
708;10;10;10;10
709;10;10;10;8
710;;10;10;10
711;;10;9;10
712;;10;10;10
713;;6;10;10
714;;10;8;10
715;9;;;
716;10;10;10;10
717;9;9;8;9
718;9;8;10;9
719;;10;10;
720;10;;10;
721;10;10;7;
722;;10;6;7
723;3;;;
724;;;;
725;10;;;
726;9;10;7;5
727;;;;
728;10;;10;10
729;;10;10;10
730;;;;
731;;9;9;10
732;8;;;9
733;9;10;8;8
734;10;10;9;9
735;10;10;10;9
736;;;8;10
737;9;;;
738;10;;;
739;10;10;2;
740;8;;;
741;9;;10;
742;9;;10;
743;;;5;8
744;;10;10;9
745;10;9;10;9
746;10;;10;
747;;;10;9
748;;10;;10
749;9;10;;
750;9;;;8
751;8;8;9;7
752;10;;10;
753;;;;
754;10;;10;10
755;10;;;9
756;;;;
757;;10;9;9
758;9;9;10;10
759;9;10;9;10
760;7;;;
761;10;;;
762;10;10;10;9
763;10;10;10;10
764;;;10;9
765;10;;;
766;10;8;8;10
767;8;9;9;8
768;;;10;
769;10;10;10;10
770;;;;
771;8;;;
772;;;;10
773;;;9;
774;10;;8;8
775;;;;
776;;;8;
777;10;;;
778;10;10;10;10
779;;;;
780;8;9;9;10
781;8;10;10;
782;9;;;
783;10;;;
784;10;10;9;
785;;;;
786;;10;;9
787;10;;9;8
788;9;;8;
789;9;9;;
790;10;10;10;10
791;8;8;;
792;9;;;
793;7;7;;
794;8;;;
795;;10;;
796;;;;
797;9;;;
798;10;10;;10
799;10;;;
800;10;;;9
801;10;;;7
802;7;;;
803;;;10;
804;;7;;9
805;8;9;9;10
806;;;;
807;8;;;
808;10;;10;
809;9;;;
810;8;9;;
811;;9;;9
812;;9;;9
813;10;10;10;10
814;;10;;
815;10;;;
816;;10;;10
817;9;;;
818;9;;10;
819;10;10;;
820;10;10;;
821;10;10;;
822;9;;8;9
823;9;9;;8
824;;10;;
825;10;;;
826;10;;10;9
827;;;;
828;10;10;;
829;8;;;
830;;;9;
831;;;7;
832;;;;
833;9;;;
834;;;;10
835;10;10;10;10
836;10;10;10;
837;10;;;
838;;;10;
839;;;;
840;;;;10
841;;;;
842;8;;8;
843;10;;;
844;10;10;10;10
845;9;;;
846;;8;;10
847;10;;10;
848;;;;9
849;10;;;
850;10;8;10;8
851;9;;;10
852;;;;10
853;10;7;10;10
854;9;;8;
855;9;9;8;9
856;10;;5;10
857;6;;;
858;10;10;10;10
859;10;9;;10
860;10;;10;
861;;10;10;10
862;10;9;9;
863;10;10;10;10
864;10;;;
865;9;10;10;10
866;8;;;10
867;10;10;10;10
868;8;;;
869;10;9;10;
870;10;10;8;7
871;10;9;;
872;10;;;
873;;;;
874;10;;;
875;10;;;
876;9;9;;
877;8;7;8;7
878;9;;;
879;8;8;;
880;8;;;
881;10;;;
882;10;;;
883;7;;;
884;;10;;
885;9;10;10;10
886;9;10;10;
887;10;;;
888;;8;;
889;;;;
890;10;10;;
891;9;9;9;10
892;10;10;10;10
893;10;9;9;10
894;10;7;8;10
895;10;10;10;10
896;10;10;10;10
897;9;10;9;
898;10;10;10;10
899;10;10;10;9
900;;10;10;10
901;10;;9;10
902;10;;;
903;8;;;
904;10;10;;8
905;10;10;;10
906;;;10;
907;;;10;
908;10;10;9;8
909;;;10;9
910;8;;9;
911;10;9;10;8
912;10;10;10;10
913;9;10;6;8
914;10;9;;10
915;;;;
916;10;;10;
917;10;;;
918;10;9;9;9
919;;9;9;
920;10;9;;
921;10;10;10;10
922;10;8;10;10
923;10;;5;
924;10;10;10;10
925;10;;;
926;9;;;
927;10;;;
928;9;;;
929;;;10;
930;10;;;
931;;;10;
932;10;;;
933;10;;;
934;;;;8
935;10;10;10;
936;9;;;
937;;;;9
938;10;;9;10
939;10;6;9;10
940;10;9;9;9
941;;;;
942;;10;10;10
943;9;;;
944;10;;;
945;10;10;9;10
946;10;10;10;10
947;10;10;10;10
948;10;10;;
949;;10;10;10
950;;10;;
951;9;9;9;8
952;9;10;;9
953;10;10;10;10
954;9;9;9;
955;9;;;
956;9;8;8;
957;9;8;10;10
958;10;9;9;
959;10;10;10;
960;;10;10;9
961;10;;;
962;;10;10;10
963;10;10;;
964;8;;;9
965;;;;
966;;10;10;10
967;10;10;10;10
968;10;10;10;10
969;10;10;10;10
970;9;10;;
971;;;10;10
972;8;;9;9
973;10;10;10;10
974;9;10;;
975;10;10;10;9
976;;9;9;
977;;;10;9
978;;;;10
979;10;;;
980;10;10;10;10
981;10;10;10;10
982;10;10;10;10
983;10;9;10;9
984;10;9;;10
985;8;;;8
986;10;;;
987;10;10;10;
988;;8;10;
989;9;9;8;8
990;;;9;
991;10;;10;10
992;9;;10;10
993;7;9;8;9
994;9;9;9;10
995;10;;9;
996;8;10;10;
997;9;10;;
998;;10;;9
999;;10;10;10
1000;;;;
1001;9;8;7;5
1002;10;;10;
1003;9;9;10;6
1004;8;10;9;
1005;10;;;
1006;10;;10;10
1007;10;10;10;10
1008;10;;;
1009;10;10;10;8
1010;10;;;
1011;;10;9;10
1012;10;8;9;9
1013;;;;
1014;10;9;10;10
1015;5;10;10;9
1016;10;10;9;9
1017;10;9;10;
1018;9;;;
1019;10;10;10;8
1020;9;9;9;9
1021;10;10;10;8
1022;10;10;;
1023;10;10;9;9
1024;10;9;;10
1025;;;;
1026;10;10;10;10
1027;10;10;10;9
1028;8;;9;
1029;10;10;10;10
1030;10;10;9;
1031;10;10;;
1032;10;10;10;10
1033;;9;9;9
1034;10;;;
1035;10;10;10;
1036;10;10;;
1037;10;;10;
1038;10;10;10;10
1039;10;10;10;10
1040;;;8;
1041;9;10;;
1042;10;;;10
1043;;;9;10
1044;10;10;10;10
1045;10;10;10;10
1046;;;;
1047;;;;8
1048;9;10;;
1049;10;10;10;10
1050;10;10;10;9
1051;10;10;10;10
1052;10;10;10;10
1053;10;10;10;10
1054;;9;10;9
1055;10;10;10;9
1056;9;9;9;9
1057;10;10;;
1058;10;;;
1059;10;10;10;10
1060;;10;;
1061;8;;10;10
1062;9;;;
1063;6;;;
1064;8;8;;9
1065;10;;;
1066;7;;;
1067;10;;;
1068;10;10;10;8
1069;10;10;10;10
1070;10;10;10;
1071;10;10;10;10
1072;10;10;;
1073;;;;
1074;10;;10;10
1075;;;2;
1076;;;8;
1077;10;10;8;10
1078;10;10;8;10
1079;10;10;10;8
1080;7;;;
1081;;;;
1082;6;10;10;10
1083;9;9;9;7
1084;10;10;10;10
1085;10;;10;
1086;10;10;10;10
1087;10;10;10;10
1088;10;;;10
1089;;10;10;10
1090;10;;;
1091;8;8;8;7
1092;;;10;10
1093;10;;;10
1094;10;10;10;9
1095;;10;10;9
1096;;10;;
1097;10;;;
1098;10;10;10;10
1099;10;;10;8
1100;10;10;10;10
1101;9;9;8;8
1102;8;;10;
1103;10;9;10;9
1104;9;9;8;8
1105;9;10;10;10
1106;;9;9;9
1107;10;10;10;9
1108;10;10;10;9
1109;10;;;10
1110;10;;;10
1111;;9;;
1112;;;;10
1113;;;10;9
1114;10;10;8;9
1115;10;9;9;9
1116;9;;;10
1117;10;;;
1118;10;10;10;7
1119;8;;10;
1120;10;10;10;10
1121;;10;10;10
1122;9;;9;9
1123;;;;
1124;9;10;10;10
1125;10;10;10;10
1126;10;9;;
1127;10;;;
1128;10;;10;
1129;;;;9
1130;;;;
1131;10;10;10;10
1132;10;;;
1133;10;10;10;10
1134;;;10;
1135;10;10;10;10
1136;7;;;
1137;10;;10;10
1138;;10;;10
1139;;10;10;10
1140;;10;;
1141;9;;;
1142;9;;10;
1143;8;8;10;10
1144;10;10;10;10
1145;10;10;9;9
1146;9;10;8;9
1147;10;10;;
1148;9;;10;8
1149;10;10;10;10
1150;10;;;
1151;9;10;10;10
1152;10;;;
1153;8;;7;
1154;10;10;10;9
1155;10;10;10;10
1156;10;10;10;10
1157;;;;10
1158;10;;;
1159;9;;;
1160;10;10;10;10
1161;10;8;;
1162;10;;;
1163;10;;;
1164;9;8;8;7
1165;10;10;10;8
1166;10;10;10;
1167;10;10;10;4
1168;;;;10
1169;10;;;
1170;8;10;9;10
1171;10;10;9;9
1172;10;10;;10
1173;;;;
1174;;10;;
1175;6;;;
1176;10;10;10;10
1177;8;;;
1178;;;;
1179;10;10;10;10
1180;10;10;10;7
1181;;;;10
1182;10;10;;10
1183;10;;;9
1184;10;;;
1185;10;6;;
1186;;;;10
1187;;8;8;9
1188;10;;;
1189;10;10;10;
1190;10;10;;
1191;;;;
1192;10;10;;
1193;10;10;10;10
1194;9;10;10;8
1195;10;;;
1196;10;10;10;10
1197;10;10;10;10
1198;;;;
1199;;;;
1200;10;10;9;10
1201;;;;
1202;10;;;
1203;9;9;9;10
1204;10;10;10;
1205;;10;10;10
1206;10;;;
1207;10;10;10;10
1208;;;;
1209;10;;;
1210;4;;10;8
1211;10;10;10;9
1212;10;10;10;10
1213;8;;9;
1214;10;;;
1215;;10;10;10
1216;9;;;
1217;10;;;
1218;;;10;
1219;10;10;10;10
1220;10;10;10;10
1221;;;;9
1222;10;;8;8
1223;10;10;;
1224;10;;;
1225;;;;
1226;10;9;8;8
1227;10;7;8;10
1228;10;;7;
1229;6;;;
1230;;;;
1231;;9;;
1232;10;10;10;10
1233;10;10;10;
1234;;7;8;
1235;3;10;10;10
1236;10;;10;
1237;8;;;
1238;7;10;;
1239;;8;10;
1240;10;;;10
1241;;;10;
1242;10;;;
1243;;9;10;
1244;10;;;
1245;10;10;;
1246;10;10;;10
1247;;10;10;10
1248;10;10;10;10
1249;;;;
1250;10;10;10;10
1251;2;9;10;9
1252;;10;7;10
1253;10;;;
1254;10;;10;10
1255;10;10;9;
1256;10;10;10;
1257;;;;10
1258;9;9;9;10
1259;8;9;10;9
1260;10;10;10;4
1261;;;;
1262;9;;;
1263;10;10;;
1264;8;;;
1265;10;9;;
1266;;;;8
1267;;;;
1268;10;;10;
1269;10;9;9;9
1270;8;7;10;10
1271;10;;;
1272;9;9;9;8
1273;;;10;
1274;8;;;
1275;10;10;9;8
1276;;7;;
1277;;;;
1278;;;;
1279;;;;
1280;9;10;10;
1281;5;;;
1282;10;;;
1283;10;10;10;8
1284;;;;
1285;;;;
1286;8;;10;
1287;10;8;10;
1288;10;10;10;10
1289;10;10;9;9
1290;8;;;
1291;10;;10;
1292;10;10;10;10
1293;;10;10;
1294;8;;;10
1295;;10;;10
1296;;8;;
1297;10;;10;10
1298;9;;;9
1299;9;10;10;
1300;9;;10;9
1301;;9;9;7
1302;10;10;9;10
1303;;;7;
1304;10;;3;
1305;;9;;
1306;;10;10;
1307;9;8;10;
1308;10;10;10;10
1309;;;9;
1310;7;;;
1311;10;8;9;
1312;10;10;8;10
1313;10;10;10;10
1314;;10;;
1315;10;;10;
1316;10;;;
1317;10;;9;10
1318;10;;8;
1319;10;9;10;9
1320;9;10;9;8
1321;10;9;;
1322;9;;;10
1323;10;;10;
1324;10;;;
1325;10;;;
1326;9;;;
1327;;10;;8
1328;;;;
1329;9;;;8
1330;;;10;
1331;9;;;
1332;10;10;10;
1333;;8;9;10
1334;10;10;10;10
1335;10;10;;10
1336;9;;;
1337;;;10;
1338;10;10;10;
1339;10;10;;10
1340;10;10;10;10
1341;7;10;9;
1342;10;;;
1343;;10;10;9
1344;8;4;9;
1345;9;;;
1346;9;;;
1347;10;9;;
1348;10;;10;10
1349;10;10;10;
1350;8;8;8;8
1351;9;9;10;10
1352;;;;
1353;10;8;8;
1354;10;10;;
1355;10;10;;
1356;10;;;
1357;;10;;
1358;9;;10;
1359;10;10;10;
1360;;;;
1361;;;;
1362;10;;;
1363;9;;;
1364;10;;;
1365;9;10;9;8
1366;10;;;
1367;10;;;
1368;10;9;9;8
1369;5;;10;
1370;10;10;8;10
1371;;;;10
1372;;;;
1373;10;;;
1374;8;;;
1375;;10;9;10
1376;10;10;10;10
1377;10;;;
1378;10;;;10
1379;7;8;;
1380;10;;;
1381;10;10;9;10
1382;10;10;10;10
1383;;;;
1384;7;;;
1385;8;8;9;8
1386;10;;10;
1387;10;;;
1388;10;;;
1389;10;;;
1390;;;;
1391;10;10;9;
1392;;;;
1393;10;10;10;10
1394;10;;10;
1395;10;9;9;10
1396;;;8;9
1397;8;;;
1398;10;10;;10
1399;10;9;10;10
1400;10;10;;10
1401;;9;;10
1402;9;9;10;
1403;10;;;
1404;;9;10;8
1405;10;10;10;10
1406;8;10;10;10
1407;9;;9;
1408;10;10;;
1409;10;10;10;10
1410;10;7;;
1411;8;10;;
1412;;;;
1413;;;;
1414;9;8;9;
1415;9;;;10
1416;10;;9;
1417;10;10;10;10
1418;9;;10;
1419;9;;10;
1420;;10;;
1421;10;;;
1422;10;10;10;10
1423;10;10;10;9
1424;9;9;8;10
1425;10;;9;10
1426;10;10;9;10
1427;9;9;;5
1428;;;10;9
1429;10;;10;
1430;10;;;
1431;;;;
1432;10;10;10;10
1433;10;10;10;
1434;8;8;;7
1435;10;10;;
1436;10;9;9;10
1437;10;9;10;10
1438;;;;
1439;10;;10;
1440;;10;10;10
1441;8;;;
1442;;;10;
1443;;;;
1444;10;;10;
1445;10;;;
1446;9;9;10;9
1447;10;10;10;9
1448;10;;;
1449;9;;9;9
1450;;10;10;10
1451;10;10;5;8
1452;10;;10;10
1453;10;10;9;10
1454;10;10;10;10
1455;;;;
1456;9;9;;
1457;10;;10;
1458;9;;10;
1459;10;10;10;9
1460;9;9;9;
1461;;;;
1462;10;10;;
1463;10;;;
1464;10;;;
1465;8;;;
1466;10;;;
1467;9;8;;
1468;10;;10;10
1469;10;10;10;8
1470;;10;;
1471;;;;
1472;;;;
1473;9;;;
1474;;;;
1475;10;;;
1476;10;;;10
1477;;;;
1478;10;;;
1479;9;;;
1480;10;9;9;
1481;9;;;
1482;8;10;9;9
1483;10;10;10;10
1484;9;10;10;10
1485;;10;;
1486;;9;;
1487;;;;10
1488;10;10;9;8
1489;;;;
1490;10;;10;
1491;10;10;10;
1492;10;10;10;10
1493;8;8;;9
1494;10;;;
1495;10;9;10;10
1496;;;;
1497;10;8;10;8
1498;10;;;10
1499;10;;;
1500;8;;;
1501;8;;;
1502;9;;;
1503;10;;10;
1504;10;;;10
1505;10;10;10;
1506;;;10;9
1507;9;10;10;10
1508;10;;;
1509;10;;10;
1510;10;10;10;10
1511;10;;;
1512;10;;;
1513;10;;;
1514;;;;
1515;10;9;10;10
1516;;9;;
1517;10;;;
1518;10;;;
1519;10;;;
1520;;;3;
1521;8;;;
1522;10;;;
1523;;8;9;10
1524;3;10;10;10
1525;10;;;
1526;10;10;9;10
1527;10;10;10;10
1528;8;;;10
1529;10;9;10;9
1530;10;;;10
1531;10;;;
1532;9;;10;10
1533;9;;;
1534;9;9;10;
1535;10;;;
1536;10;10;;10
1537;10;;;
1538;10;;10;
1539;10;7;;
1540;8;10;10;9
1541;9;;;
1542;;10;9;10
1543;;9;;
1544;10;;;
1545;10;;;
1546;8;9;5;
1547;5;;;
1548;9;;;
1549;6;;;
1550;10;9;;
1551;9;;;
1552;;;;
1553;;;10;
1554;;;5;8
1555;9;10;9;8
1556;10;9;10;9
1557;9;;;
1558;;10;;10
1559;2;;;
1560;;;;
1561;8;;;
1562;10;8;9;
1563;10;9;8;9
1564;10;;;
1565;9;;;
1566;10;;10;
1567;7;;9;8
1568;10;9;10;
1569;10;;10;
1570;10;10;10;10
1571;10;9;;
1572;10;;;
1573;10;8;10;
1574;10;10;9;8
1575;10;10;;10
1576;;;;
1577;8;;;
1578;;10;7;
1579;;;;
1580;9;;;
1581;10;;;
1582;8;9;9;
1583;;;;
1584;8;9;9;
1585;;;;
1586;10;10;10;10
1587;10;10;9;10
1588;10;;;
1589;10;;;
1590;;;;
1591;;;;
1592;;;;
1593;9;;10;
1594;;;;
1595;10;;;
1596;10;10;10;10
1597;10;;;
1598;;;;
1599;10;;;
1600;;;10;
1601;9;;;
1602;10;;10;
1603;;;;
1604;;10;;
1605;;;;
1606;10;10;10;
1607;10;10;10;10
1608;10;10;10;10
