ID;CodigoPrograma;GradoMinimo;GradoMaximo;Estado;NoAnual;Dias;Transporte;TipoPago;Precio;Seguro;SeguroCancelado;PorcentajeSeguro;PagoCancelado;Chaperones;LineaPobreza;Region;SegmentoCRM;TipoEscuela;ReunionPadres;MenorGradoEscuela;MayorGrado Escuela;TotalAlumnosEscuela;NivelIngresos;PagoFacil;ApoyoOficial;TipoPrograma;NuevoExistente;ParticipantesPago;TotalIngreso;Reuniones;DiasPrimeraReunion;DiasUltimaReunion;TipoGradoMinimo;TipoGradoMaximo;MesPartida;CodigoAgregacionPrograma;MismoGrado;ParticipantesEstudiantado;RatioPago;Tamano;Retenidos2020
20;HD;8;8;LA;0;4;A;NA;1271;33;9;0.733;9;5;C;Other;1;PUBLIC;1;5;7;345;E;0.311;0;East Coast;NEW;45;1271;2;301;152;Middle;Middle;February;H;1;0.130434783;0.9;S-M;1
21;HD;8;8;MI;0;5;B;NA;812;34;5;0.453;8;5;B;Other;10;PUBLIC;1;6;8;664;M;0.213;0;East Coast;EXISTING;75;812;1;155;155;Middle;Middle;February;H;1;0.112951807;0.9375;M-L;1
22;SG;11;12;NY;1;7;A;NA;2785;13;2;0.619;2;2;A;Other;6;PUBLIC;1;9;12;1693;P;0.286;0;Science;EXISTING;21;2785;2;146;139;High;High;February;S;0;0.012404017;0.913043478;L;1
23;HVP;7;7;NC;0;3;B;NA;386;56;9;0.359;8;7;;Other;7;PUBLIC;1;;NA;;P1;0.173;0;East Coast;NEW;156;386;1;148;148;Middle;Middle;February;H;1;NA;0.957055215;;1
24;HD;8;8;OH;0;3;B;NA;718;19;4;0.5;6;5;A;Other;10;PUBLIC;1;6;8;760;N;0.105;0;East Coast;EXISTING;38;718;1;168;168;Middle;Middle;February;H;1;0.05;0.88372093;M-L;1
25;HD;7;7;MN;0;4;A;FR;1362;15;0;0.75;1;2;C;Other;10;PUBLIC;1;7;8;641;K;0.2;0;East Coast;EXISTING;20;1362;1;154;154;Middle;Middle;February;H;1;0.031201248;0.909090909;M-L;1
26;HD;8;8;TX;0;4;A;NA;1629;53;4;0.747;4;5;;Dallas;5;CHD;1;PK;12;700;H;0.127;0;East Coast;EXISTING;71;1629;1;160;160;Middle;Middle;February;H;1;0.101428571;0.934210526;M-L;1
27;HD;8;8;AR;0;4;A;NA;1899;9;1;0.818;0;1;;Other;5;Private non-Christian;1;PK;12;1300;P;0.182;0;East Coast;EXISTING;11;1899;1;148;148;Middle;Middle;February;H;1;0.008461538;0.916666667;L;1
28;HD;8;8;MI;0;5;B;NA;662;50;3;0.27;5;12;A;Other;5;PUBLIC;1;6;8;685;O;0.011;0;East Coast;EXISTING;185;662;1;144;144;Middle;Middle;February;H;1;0.270072993;0.939086294;M-L;1
29;HD;NA;NA;MI;0;4;B;NA;684;27;5;0.5;9;4;A;Other;5;PUBLIC;1;6;8;702;Q;0.019;0;East Coast;EXISTING;54;684;2;157;148;Undefined;Undefined;February;H;0;0.076923077;0.931034483;M-L;1
30;HD;NA;NA;MI;0;4;B;NA;677;39;1;0.52;4;6;A;Other;5;PUBLIC;1;6;8;698;Q;0.107;0;East Coast;EXISTING;75;677;1;134;134;Undefined;Undefined;February;H;0;0.107449857;0.925925926;M-L;1
31;HD;8;8;MI;0;5;B;NA;726;27;1;0.587;3;4;A;Other;5;PUBLIC;1;6;8;604;Q;0.196;0;East Coast;EXISTING;46;726;2;281;150;Middle;Middle;February;H;1;0.07615894;0.92;M-L;1
32;HD;8;8;IL;0;3;A;NA;1115;78;5;0.796;7;10;A;Other;10;PUBLIC;0;6;8;597;Q;0.337;0;East Coast;EXISTING;98;1115;0;NA;NA;Middle;Middle;February;H;1;0.164154104;0.907407407;M-L;1
33;HD;8;8;OH;1;3;A;NA;1186;10;0;0.833;0;1;;Other;10;Catholic;0;K;8;500;J;0;0;East Coast;EXISTING;12;1186;0;NA;NA;Middle;Middle;February;H;1;0.024;0.923076923;S-M;1
34;HD;7;8;IL;0;3;A;NA;999;12;0;0.857;0;2;B;Other;10;PUBLIC;1;7;8;320;L;0.286;0;East Coast;EXISTING;14;999;1;158;158;Middle;Middle;February;H;0;0.04375;0.875;S;1
35;HD;8;8;IN;0;3;A;NA;1174;28;5;0.718;7;4;A;Other;5;PUBLIC;1;7;8;794;P;0.308;0;East Coast;EXISTING;39;1174;1;185;185;Middle;Middle;February;H;1;0.049118388;0.906976744;M-L;1
36;HD;8;8;IN;0;3;A;NA;1174;72;13;0.686;15;7;A;Other;5;PUBLIC;1;7;8;955;P;0.229;0;East Coast;EXISTING;105;1174;1;185;185;Middle;Middle;February;H;1;0.109947644;0.9375;L;1
37;HD;8;8;IN;0;3;A;NA;1174;37;3;0.804;3;3;A;Other;10;PUBLIC;1;7;8;966;P;0.283;0;East Coast;EXISTING;46;1174;1;186;186;Middle;Middle;February;H;1;0.047619048;0.93877551;L;1
38;SM;6;8;CA;0;5;A;NA;2202;21;1;0.84;1;2;;Northern California;4;Private non-Christian;1;PK;8;321;Q;0.36;0;Science;NEW;25;2202;1;172;172;Middle;Middle;February;S;0;0.07788162;0.925925926;S;1
39;HC;8;8;CA;0;6;A;NA;2631;97;30;0.669;37;14;B;Southern California;5;PUBLIC;1;7;12;2393;Q;0.2;0;East Coast;EXISTING;145;2631;2;284;135;Middle;Middle;February;H;1;0.060593397;0.911949686;L;1
40;HD;8;8;CA;0;5;A;NA;2049;43;3;0.606;5;9;A;Northern California;5;PUBLIC;1;6;8;783;Q;0.268;1;East Coast;EXISTING;71;2049;1;163;163;Middle;Middle;February;H;1;0.090676884;0.8875;M-L;1
41;HD;8;8;CA;0;6;A;NA;2469;14;2;0.778;2;1;;Northern California;7;PUBLIC;1;;NA;;;0;0;East Coast;EXISTING;18;2469;2;274;137;Middle;Middle;February;H;1;NA;0.947368421;;1
42;HC;8;8;CA;0;6;A;NA;2366;36;4;0.75;3;3;B;Northern California;5;PUBLIC;1;6;8;700;P3;0.146;0;East Coast;EXISTING;48;2366;2;346;170;Middle;Middle;February;H;1;0.068571429;0.941176471;M-L;1
43;HC;8;8;CA;1;6;A;NA;2559;37;8;0.617;11;7;A;Northern California;5;PUBLIC;1;6;8;700;Q;0.233;0;East Coast;EXISTING;60;2559;1;142;142;Middle;Middle;February;H;1;0.085714286;0.895522388;M-L;0
44;HC;8;8;CA;0;6;A;NA;2907;18;3;0.667;5;3;A;Northern California;4;PUBLIC;1;3;5;430;Q;0.222;0;East Coast;EXISTING;27;2907;2;279;159;Middle;Middle;February;H;1;0.062790698;0.9;S-M;1
45;HC;7;8;CA;0;7;A;NA;2949;31;1;0.775;0;4;;Southern California;5;Private non-Christian;1;K;8;562;P;0.175;0;East Coast;EXISTING;40;2949;2;143;38;Middle;Middle;February;H;0;0.071174377;0.909090909;S-M;1
46;CD;8;8;TX;0;5;A;FR;1399;25;0;0.758;0;2;;Dallas;10;CHD;1;PK;12;522;L;0.273;0;East Coast;EXISTING;33;1399;1;314;314;Middle;Middle;February;C;1;0.063218391;0.942857143;S-M;1
47;HN;NA;NA;OH;0;4;B;NA;1190;19;3;0.826;2;3;A;Other;9;PUBLIC;0;9;12;364;M;0.174;0;East Coast;NEW;23;1190;0;NA;NA;Undefined;Undefined;February;H;0;0.063186813;0.884615385;S-M;0
48;HD;8;8;OH;0;3;A;SA;935;4;0;0.121;2;3;A;Other;10;PUBLIC;1;7;8;351;M;0;0;East Coast;EXISTING;33;935;1;-204;-204;Middle;Middle;February;H;1;0.094017094;0.916666667;S-M;1
49;HD;8;8;CA;0;5;A;NA;2077;2;3;0.5;3;1;A;Northern California;5;PUBLIC;1;6;8;1306;Q;0;0;East Coast;EXISTING;4;2077;2;161;145;Middle;Middle;February;H;1;0.003062787;0.8;L;1
50;HD;8;8;CA;0;5;A;NA;2077;8;6;0.727;4;1;A;Northern California;5;PUBLIC;1;6;8;1008;Q;0.273;0;East Coast;EXISTING;11;2077;1;145;145;Middle;Middle;February;H;1;0.010912698;0.916666667;L;0
51;HS;4;4;CA;0;3;A;NA;874;9;0;0.563;0;1;;Southern California;5;Private non-Christian;0;PK;8;652;O;0.125;1;CA History;EXISTING;16;874;0;NA;NA;Elementary;Elementary;February;H;1;0.024539877;0.941176471;M-L;1
52;HD;8;8;WI;0;4;A;NA;1138;70;7;0.636;10;13;A;Other;4;PUBLIC;1;3;6;240;M;0.355;0;East Coast;EXISTING;110;1138;1;148;148;Middle;Middle;February;H;1;0.458333333;0.894308943;S;1
53;HD;8;8;FL;0;4;A;NA;1310;43;0;0.573;0;7;;Other;5;Private non-Christian;0;PK;12;850;L;0.147;0;East Coast;EXISTING;75;1310;0;NA;NA;Middle;Middle;February;H;1;0.088235294;0.914634146;L;1
54;HD;8;8;TX;0;4;A;NA;1550;44;6;0.898;7;2;C;Houston;10;PUBLIC;1;7;8;880;E;0.388;0;East Coast;EXISTING;49;1550;1;162;162;Middle;Middle;February;H;1;0.055681818;0.960784314;L;1
55;HD;8;8;IL;0;4;A;NA;1149;20;2;0.87;3;4;;Other;5;Catholic;1;PK;8;650;Q;0.217;0;East Coast;NEW;23;1149;2;317;154;Middle;Middle;February;H;1;0.035384615;0.851851852;M-L;1
56;SG;7;NA;MO;0;3;A;NA;1188;11;6;0.846;6;1;A;Other;6;PUBLIC;1;6;7;565;O;0;0;Science;NEW;13;1188;1;135;135;Middle;Undefined;February;S;0;0.02300885;0.928571429;S-M;1
57;CD;11;12;AZ;0;6;A;NA;2154;4;2;0.5;2;1;;Other;5;CHD;1;PK;12;1325;K;0.25;1;East Coast;EXISTING;8;2154;1;184;184;High;High;February;C;0;0.006037736;0.888888889;L;1
58;CD;8;8;ID;0;5;A;FR;1684;11;2;0.579;2;1;;Other;5;CHD;1;PK;8;412;H;0.368;1;East Coast;EXISTING;19;1684;1;189;189;Middle;Middle;February;C;1;0.046116505;0.95;S-M;1
59;HD;8;8;TN;0;4;A;FR;1163;46;3;0.697;3;7;;Other;10;CHD;1;PK;12;750;K;0.136;0;East Coast;EXISTING;66;1163;1;196;196;Middle;Middle;March;H;1;0.088;0.904109589;M-L;1
60;HD;9;9;WI;0;5;A;CP;1321;37;4;0.638;7;4;B;Other;10;PUBLIC;1;7;9;824;G;0.31;0;East Coast;EXISTING;58;1321;1;174;174;High;High;March;H;1;0.07038835;0.935483871;L;1
61;HG;4;4;CA;1;3;A;SA;808;0;0;0;1;1;;Southern California;4;Private non-Christian;0;PK;6;230;O;0;1;CA History;EXISTING;45;808;0;NA;NA;Elementary;Elementary;March;H;1;0.195652174;0.97826087;S;0
62;HD;8;8;KS;0;3;A;NA;1460;38;1;0.576;2;4;;Other;5;Private non-Christian;1;PK;12;1023;Z;0.167;0;East Coast;EXISTING;66;1460;1;163;163;Middle;Middle;March;H;1;0.064516129;0.942857143;L;1
63;HC;9;12;AL;0;4;A;CP;1589;2;3;0.167;4;1;C;Other;8;PUBLIC;1;9;12;1688;G;0;0;East Coast;NEW;12;1589;1;147;147;High;High;March;H;0;0.007109005;0.923076923;L;0
64;HD;7;8;MN;1;4;A;NA;1477;12;1;0.571;2;1;;Other;10;Catholic;1;PK;8;200;N;0.143;0;East Coast;EXISTING;21;1477;1;392;392;Middle;Middle;March;H;0;0.105;0.954545455;S;0
65;HD;8;8;MS;0;3;B;NA;851;50;1;0.746;1;4;;Other;10;Private non-Christian;1;PK;12;1555;Z;0.149;0;East Coast;EXISTING;67;851;1;181;181;Middle;Middle;March;H;1;0.043086817;0.943661972;L;1
66;HC;5;6;AL;1;5;A;NA;1813;36;8;0.72;8;3;C;Other;4;PUBLIC;1;PK;5;400;C;0.28;0;East Coast;EXISTING;50;1813;2;196;121;Elementary;Middle;March;H;0;0.125;0.943396226;S-M;0
67;HP;4;4;CA;0;1;B;SA;149;0;0;0;1;1;;Southern California;4;Private non-Christian;0;K;6;280;Q;0;1;CA History;EXISTING;25;149;0;NA;NA;Elementary;Elementary;March;H;1;0.089285714;0.961538462;S;1
68;HD;8;8;NY;0;3;A;FR;987;94;10;0.686;10;13;A;Other;5;PUBLIC;1;6;8;1232;O;0.219;0;East Coast;EXISTING;137;987;1;32;32;Middle;Middle;March;H;1;0.111201299;0.913333333;L;1
69;HD;7;7;IL;0;3;A;NA;1040;65;6;0.707;5;10;B;Other;10;PUBLIC;1;7;8;478;L;0.196;0;East Coast;EXISTING;92;1040;1;162;162;Middle;Middle;March;H;1;0.192468619;0.901960784;S-M;1
70;HD;8;8;KY;0;5;B;NA;899;34;5;0.642;8;4;C;Other;2;PUBLIC;1;6;8;669;E;0.17;0;East Coast;EXISTING;53;899;2;297;178;Middle;Middle;March;H;1;0.07922272;0.929824561;M-L;1
71;SG;8;8;OR;0;8;A;NA;2048;16;6;0.246;7;8;B;Pacific Northwest;7;PUBLIC;1;6;8;495;J;0.154;0;Science;EXISTING;65;2048;1;166;166;Middle;Middle;March;S;1;0.131313131;0.890410959;S-M;1
72;HD;NA;NA;IL;0;3;A;NA;1066;88;3;0.765;4;11;A;Other;5;PUBLIC;1;6;8;586;Q;0.226;0;East Coast;EXISTING;115;1066;1;185;185;Undefined;Undefined;March;H;0;0.196245734;0.912698413;M-L;1
73;HD;NA;NA;LA;0;4;A;NA;1400;17;5;0.739;5;2;;Other;5;Catholic;1;PK;7;900;L;0.044;0;East Coast;EXISTING;23;1400;1;186;186;Undefined;Undefined;March;H;0;0.025555556;0.92;L;1
74;HD;8;8;NE;0;4;A;NA;1319;16;3;0.485;9;5;B;Other;10;PUBLIC;1;6;8;835;I;0.152;0;East Coast;NEW;33;1319;2;290;178;Middle;Middle;March;H;1;0.039520958;0.868421053;L;1
75;HC;8;8;TX;0;5;A;NA;1924;20;11;0.741;14;3;C;Dallas;10;PUBLIC;1;6;8;996;K;0.185;0;East Coast;EXISTING;27;1924;1;173;173;Middle;Middle;March;H;1;0.027108434;0.9;L;1
76;HD;8;8;MA;0;5;B;NA;849;46;18;0.455;21;8;B;Other;8;PUBLIC;1;9;12;497;N;0.168;0;East Coast;NEW;101;849;1;150;150;Middle;Middle;March;H;1;0.203219316;0.926605505;S-M;1
77;HD;8;8;MS;0;5;B;SA;1268;1;0;0.031;0;3;;Other;10;CHD;1;PK;12;310;B;0;0;East Coast;EXISTING;32;1268;1;157;157;Middle;Middle;March;H;1;0.103225806;0.914285714;S;1
78;CD;6;6;FL;0;6;A;FR;1393;11;4;0.611;4;2;;Other;10;CHD;1;PK;12;550;Z;0.111;0;East Coast;EXISTING;18;1393;2;283;188;Middle;Middle;March;C;1;0.032727273;0.9;S-M;1
79;HC;8;8;CA;0;7;A;FR;2571;16;4;0.246;6;4;A;Southern California;10;PUBLIC;1;K;8;610;O;0.092;0;East Coast;EXISTING;65;2571;1;137;137;Middle;Middle;March;H;1;0.106557377;0.942028986;M-L;1
80;CC;8;8;CA;0;7;A;CP;2389;38;1;0.623;1;5;;Northern California;5;CHD;1;PK;8;864;Q;0.312;1;East Coast;EXISTING;61;2389;1;185;185;Middle;Middle;March;C;1;0.070601852;0.924242424;L;1
81;CD;8;8;CA;0;7;A;NA;2049;33;8;0.471;5;6;;Southern California;5;PUBLIC;1;7;12;;O;0.243;1;East Coast;EXISTING;70;2049;1;188;188;Middle;Middle;March;C;1;NA;0.921052632;;1
82;CD;7;8;TN;1;4;A;FR;1324;41;1;0.774;3;5;;Other;10;CHD;1;PK;8;365;M;0.245;0;East Coast;EXISTING;53;1324;1;202;202;Middle;Middle;March;C;0;0.145205479;0.913793103;S-M;0
83;HD;8;8;CA;0;5;A;NA;1984;3;1;0.231;3;1;B;Northern California;5;PUBLIC;1;7;8;511;O;0.154;0;East Coast;EXISTING;13;1984;1;167;167;Middle;Middle;March;H;1;0.025440313;0.928571429;S-M;1
84;HD;8;8;CA;0;5;A;NA;2267;26;0;0.743;0;4;;Northern California;5;Private non-Christian;1;6;12;372;Q;0.171;0;East Coast;EXISTING;35;2267;1;158;158;Middle;Middle;March;H;1;0.094086022;0.897435897;S-M;1
85;HD;7;8;TX;0;5;A;NA;1742;28;11;0.966;10;2;B;Houston;10;PUBLIC;1;6;8;375;M;0.172;0;East Coast;EXISTING;29;1742;1;175;175;Middle;Middle;March;H;0;0.077333333;0.935483871;S-M;1
86;HD;7;8;AZ;0;5;A;NA;1699;17;2;0.85;3;2;;Other;7;PUBLIC;1;;NA;;;0.1;0;East Coast;NEW;20;1699;2;188;137;Middle;Middle;March;H;0;NA;0.909090909;;0
87;HC;8;8;MI;0;6;B;NA;1099;50;4;0.676;6;7;B;Other;10;PUBLIC;1;6;8;682;J;0.284;0;East Coast;EXISTING;74;1099;1;181;181;Middle;Middle;March;H;1;0.108504399;0.913580247;M-L;1
88;HD;9;9;MX;0;6;A;SA;2296;0;0;0;14;2;;Other;7;CHD;0;;NA;;;0;0;East Coast;EXISTING;23;2296;0;NA;NA;High;High;March;H;1;NA;0.92;;1
89;HD;8;NA;FL;0;4;A;NA;1444;3;1;0.5;1;1;B;Other;10;PUBLIC;1;2;12;2159;O;0.5;0;East Coast;EXISTING;6;1444;2;301;132;Middle;Undefined;March;H;0;0.002779064;0.857142857;L;0
90;HD;8;8;FL;1;4;A;NA;1145;22;4;0.688;7;3;;Other;5;Private non-Christian;0;PK;12;1100;F;0.25;0;East Coast;EXISTING;32;1145;0;NA;NA;Middle;Middle;March;H;1;0.029090909;0.914285714;L;1
91;SK;7;7;FL;0;4;B;NA;999;18;7;0.783;7;3;;Other;7;Private non-Christian;0;PK;12;1100;F;0.13;0;Science;EXISTING;23;999;0;NA;NA;Middle;Middle;March;S;1;0.020909091;0.884615385;L;1
92;HD;7;8;TX;0;6;A;SA;2096;0;0;0;2;4;;Houston;5;Catholic;0;PK;8;428;D;0;0;East Coast;EXISTING;52;2096;0;NA;NA;Middle;Middle;March;H;0;0.121495327;0.928571429;S-M;1
93;SG;6;6;FL;0;3;B;NA;725;31;0;0.861;0;3;;Other;7;Private non-Christian;0;PK;12;1100;F;0.139;0;Science;EXISTING;36;725;0;NA;NA;Middle;Middle;March;S;1;0.032727273;0.923076923;L;1
94;HD;7;8;LA;1;4;A;NA;1467;34;9;0.708;9;4;B;Other;10;PUBLIC;1;7;8;552;J;0.208;0;East Coast;EXISTING;48;1467;1;196;196;Middle;Middle;March;H;0;0.086956522;0.923076923;S-M;0
95;HD;8;8;AZ;0;4;A;NA;1630;58;12;0.753;12;10;B;Other;5;PUBLIC;1;7;8;688;P;0.143;0;East Coast;EXISTING;77;1630;2;315;189;Middle;Middle;March;H;1;0.111918605;0.885057471;M-L;1
96;HD;8;8;IA;0;6;B;NA;1099;16;3;0.5;2;2;B;Other;10;PUBLIC;1;5;8;330;J;0.219;0;East Coast;EXISTING;32;1099;1;181;181;Middle;Middle;March;H;1;0.096969697;0.941176471;S;1
97;HC;8;8;CO;0;6;A;NA;1854;18;1;0.514;1;3;;Other;10;CHD;1;K;12;315;M;0.486;0;East Coast;EXISTING;35;1854;2;380;181;Middle;Middle;March;H;1;0.111111111;0.921052632;S;0
98;HW;7;8;SC;0;3;B;NA;890;6;6;0.4;7;1;C;Other;10;PUBLIC;1;7;8;650;I;0.2;0;East Coast;EXISTING;15;890;1;178;178;Middle;Middle;March;H;0;0.023076923;0.9375;M-L;0
99;HD;8;8;IL;0;3;A;NA;1163;149;22;0.823;20;13;A;Other;5;PUBLIC;1;7;8;468;Q;0.116;0;East Coast;EXISTING;181;1163;1;161;161;Middle;Middle;March;H;1;0.386752137;0.932989691;S-M;1
100;HW;NA;NA;TX;0;4;A;NA;1750;42;7;0.857;7;4;;Houston;5;Private non-Christian;1;PK;12;957;Z;0.163;0;East Coast;EXISTING;49;1750;1;139;139;Undefined;Undefined;March;H;0;0.051201672;0.924528302;L;1
101;HD;9;9;MN;0;4;A;NA;1445;49;3;0.628;4;5;A;Other;5;PUBLIC;1;6;9;1102;Q;0.269;0;East Coast;EXISTING;78;1445;2;168;167;High;High;March;H;1;0.070780399;0.939759036;L;1
102;HD;8;9;WI;0;5;A;NA;1229;27;4;0.643;3;3;B;Other;10;PUBLIC;1;7;9;780;G;0.167;1;East Coast;EXISTING;42;1229;1;157;157;Middle;High;March;H;0;0.053846154;0.933333333;M-L;1
103;HD;8;8;AZ;0;5;A;NA;2164;12;15;0.667;21;3;;Other;5;Catholic;1;K;8;570;I;0.333;0;East Coast;EXISTING;18;2164;2;380;196;Middle;Middle;March;H;1;0.031578947;0.857142857;S-M;0
104;HD;6;6;CA;0;8;A;SA;2630;0;0;0;0;4;;Southern California;4;Private non-Christian;0;PK;6;350;P;0;1;East Coast;EXISTING;36;2630;0;NA;NA;Middle;Middle;March;H;1;0.102857143;0.9;S-M;1
105;HD;8;8;MS;0;3;A;NA;1149;24;2;0.828;3;2;;Other;5;CHD;1;PK;12;1140;K;0.31;0;East Coast;EXISTING;29;1149;1;143;143;Middle;Middle;March;H;1;0.025438596;0.935483871;L;1
106;HD;6;8;FL;0;4;A;FR;1368;34;7;0.68;9;5;B;Other;10;PUBLIC;0;6;8;1165;K;0.32;0;East Coast;NEW;50;1368;0;NA;NA;Middle;Middle;March;H;0;0.042918455;0.909090909;L;1
107;CD;8;12;MN;1;4;A;NA;1299;6;2;0.667;2;1;;Other;10;CHD;1;K;12;452;Q;0.222;0;East Coast;NEW;9;1299;2;312;178;Middle;High;March;C;0;0.019911504;0.9;S-M;0
108;HC;7;8;MN;1;5;A;NA;1620;23;3;0.575;2;2;B;Other;10;PUBLIC;1;K;8;700;M;0.3;0;East Coast;EXISTING;40;1620;1;162;162;Middle;Middle;March;H;0;0.057142857;0.952380952;M-L;0
109;HN;5;6;AL;0;5;A;NA;1849;13;9;0.52;10;4;C;Other;10;PUBLIC;1;K;8;1590;E;0.16;0;East Coast;EXISTING;25;1849;2;333;190;Elementary;Middle;March;H;0;0.01572327;0.862068966;L;1
110;HD;8;8;TN;0;4;B;NA;1217;13;1;0.619;1;1;;Other;10;Private non-Christian;1;K;12;780;G;0.191;0;East Coast;EXISTING;21;1217;1;199;199;Middle;Middle;March;H;1;0.026923077;0.954545455;M-L;1
111;HD;6;8;TX;1;6;A;NA;1844;9;2;0.429;2;2;;Houston;10;CHD;1;PK;8;184;A;0.143;0;East Coast;EXISTING;21;1844;1;190;190;Middle;Middle;March;H;0;0.114130435;0.913043478;S;0
112;HD;8;8;MO;0;4;B;NA;1047;21;2;0.568;1;4;B;Other;10;PUBLIC;1;6;8;760;G;0.324;0;East Coast;EXISTING;37;1047;2;332;192;Middle;Middle;March;H;1;0.048684211;0.902439024;M-L;1
113;CD;8;8;OR;0;7;A;NA;2277;11;1;0.647;1;1;;Pacific Northwest;10;CHD;1;PK;8;165;H;0.471;1;East Coast;EXISTING;17;2277;1;170;170;Middle;Middle;March;C;1;0.103030303;0.944444444;S;1
